referal_code,register_pay_days,late
12208000054,215,0.0
12209000121,178,0.0
12211002778,80,0.0
12211002938,171,0.0
12211003411,123,4.0
12212003453,95,0.0
12212003631,126,1.0
12212003632,30,7.0
12212003901,20,0.0
12212003910,47,6.0
12301000005,26,0.0
12301000039,6,0.0
12301000054,0,7.0
12301000070,24,0.0
12301000077,0,7.0
12301000247,31,2.0
12301000341,3,7.0
12301000343,137,3.0
12301000368,0,2.0
12301000398,0,0.0
12301000414,0,0.0
12301000497,0,0.0
12301000502,17,6.0
12301000563,103,3.0
12301000682,138,0.0
12301000722,0,7.0
12301000882,0,0.0
12301000989,1,7.0
12301000995,0,0.0
12301001004,23,0.0
12301001070,8,1.0
12302001157,56,0.0
12302001163,0,0.0
12302001228,0,3.0
12302001232,76,1.0
12302001240,5,1.0
12302001455,0,0.0
12302001878,0,0.0
12302001919,0,0.0
12302001947,14,1.0
12302001975,0,2.0
12302002014,5,0.0
12302002076,0,6.0
12302002121,0,0.0
12302002216,0,6.0
12302002235,2,1.0
12302002237,0,1.0
12302002258,0,6.0
12302002281,0,1.0
12302002306,0,1.0
12302002482,28,0.0
12302002533,6,5.0
12302002561,-1,0.0
12302002565,0,6.0
12302002585,0,1.0
12302002638,148,1.0
12302002668,0,6.0
12302002670,1,0.0
12302002740,3,5.0
12302002763,0,0.0
12303002772,0,0.0
12303002774,0,0.0
12303002776,0,5.0
12303002798,1,0.0
12303002809,0,0.0
12303002810,0,0.0
12303002844,0,5.0
12303002847,0,2.0
12303002848,0,2.0
12303002856,0,0.0
12303002881,1,5.0
12303002905,0,0.0
12303002933,1,1.0
12303002944,0,0.0
12303002995,0,2.0
12303003011,0,0.0
12303003012,3,0.0
12303003052,0,5.0
12303003057,0,5.0
12303003067,0,5.0
12303003087,0,0.0
12303003103,1,1.0
12303003136,0,5.0
12303003182,0,0.0
12303003229,15,0.0
12303003260,0,0.0
12303003332,122,0.0
12303003333,-5,1.0
12303003358,0,1.0
12303003360,0,0.0
12303003384,38,4.0
12303003431,0,1.0
12303003449,0,0.0
12303003453,0,0.0
12303003484,0,0.0
12303003498,1,5.0
12303003507,17,4.0
12303003679,5,5.0
12303003686,0,0.0
12303003716,6,3.0
12303003739,0,2.0
12303003754,0,1.0
12303003756,55,0.0
12303003785,1,0.0
12303003884,1,1.0
12303003918,0,1.0
12303003919,2,1.0
12303003954,3,5.0
12303003985,33,0.0
12303004002,3,0.0
12303004005,2,5.0
12303004025,37,0.0
12303004074,4,3.0
12303004091,1,0.0
12303004092,-1,1.0
12303004097,3,5.0
12303004112,0,1.0
12303004113,85,2.0
12303004206,42,0.0
12303004237,0,5.0
12303004248,0,5.0
12303004350,0,1.0
12303004359,1,0.0
12303004390,0,5.0
12303004409,40,0.0
12303004413,0,1.0
12304004420,-1,5.0
12304004531,0,0.0
12304004541,0,4.0
12304004549,-1,1.0
12304004613,5,0.0
12304004639,-1,0.0
12304004676,0,0.0
12304004754,18,1.0
12304004805,0,0.0
12304004833,0,4.0
12304004841,0,0.0
12304004848,0,4.0
12304004876,-1,0.0
12304004879,0,1.0
12304004886,19,0.0
12304004907,0,0.0
12304004910,1,0.0
12304004924,0,0.0
12304004925,14,2.0
12304004932,3,0.0
12304004935,0,0.0
12304004947,87,1.0
12304004955,82,0.0
12304004961,3,4.0
12304004980,0,0.0
12304004994,0,4.0
12304004998,0,4.0
12304005000,81,1.0
12304005007,36,0.0
12304005010,0,0.0
12304005042,0,0.0
12304005083,3,0.0
12304005094,4,0.0
12304005098,0,2.0
12304005108,0,0.0
12304005117,1,0.0
12304005132,105,0.0
12304005136,3,1.0
12304005151,0,0.0
12304005173,0,4.0
12304005222,1,1.0
12304005231,0,0.0
12304005245,-1,2.0
12305005257,0,0.0
12305005264,0,3.0
12305005269,2,0.0
12305005304,1,3.0
12305005348,0,0.0
12305005371,33,0.0
12305005374,1,3.0
12305005398,0,0.0
12305005403,0,0.0
12305005457,0,0.0
12305005493,0,0.0
12305005499,1,0.0
12305005515,6,0.0
12305005522,0,0.0
12305005541,2,0.0
12305005542,-67,1.0
12305005577,4,2.0
12305005607,0,0.0
12305005608,-1,2.0
12305005652,3,0.0
12305005682,13,0.0
12305005713,-1,2.0
12305005714,0,0.0
12305005718,9,3.0
12305005726,2,3.0
12305005738,8,1.0
12305005810,1,1.0
12305005830,0,0.0
12305005874,0,3.0
12305005876,23,0.0
12305005917,0,3.0
12305005958,0,3.0
12305006016,17,0.0
12305006079,0,1.0
12306006137,-1,0.0
12306006145,3,0.0
12306006147,0,1.0
12306006168,-1,0.0
12306006171,-1,0.0
12306006176,0,0.0
12306006209,21,2.0
12306006235,0,0.0
12306006245,14,1.0
12306006259,2,2.0
12306006274,11,1.0
12306006283,8,1.0
12306006297,5,0.0
12306006305,8,0.0
12306006312,0,0.0
12306006342,-1,0.0
12306006351,0,0.0
12306006443,0,0.0
12306006451,0,0.0
12306006455,1,0.0
12306006468,0,0.0
12306006498,1,0.0
12306006536,0,0.0
12306006552,0,0.0
12306006586,2,1.0
12306006605,3,2.0
12306006652,11,0.0
12306006671,1,0.0
12306006688,1,0.0
12306006692,1,0.0
12306006727,0,0.0
12306006735,0,0.0
12306006748,3,2.0
12306006760,1,1.0
12306006763,0,0.0
12306006769,3,0.0
12306006803,0,0.0
12306006873,0,0.0
12306006882,0,1.0
12306006892,0,0.0
12306006902,0,2.0
12306006915,0,0.0
12306006934,0,0.0
12306006938,0,2.0
12307006956,0,0.0
12307006966,0,0.0
12307006970,0,0.0
12307007000,0,1.0
12307007001,2,0.0
12307007008,1,0.0
12307007009,0,1.0
12307007029,1,0.0
12307007049,1,0.0
12307007054,0,0.0
12307007099,0,1.0
12307007109,0,1.0
12307007120,0,1.0
12307007130,1,0.0
12307007173,0,0.0
12307007180,3,0.0
12307007209,0,1.0
12307007224,2,0.0
12307007225,2,0.0
12307007227,2,0.0
12307007228,16,0.0
12307007233,2,0.0
12307007240,8,0.0
12307007254,1,1.0
12307007256,0,1.0
12307007274,1,0.0
12307007277,0,1.0
12307007329,17,0.0
12307007373,2,1.0
12307007374,2,1.0
12307007390,0,1.0
12307007402,0,0.0
12307007410,1,1.0
12307007414,10,0.0
12307007419,0,0.0
12307007434,0,0.0
12307007437,1,0.0
12307007482,0,1.0
12307007495,10,1.0
12307007513,0,0.0
12307007525,0,0.0
12307007529,0,0.0
12307007556,1,1.0
12307007580,0,1.0
12307007587,3,1.0
12307007631,1,0.0
12307007633,0,1.0
12307007649,0,1.0
12307007663,0,0.0
12307007667,0,1.0
12307007668,0,0.0
12307007727,0,1.0
12307007747,0,1.0
12307007774,0,0.0
12307007776,0,0.0
12307007789,0,1.0
12307007792,0,0.0
12307007797,0,0.0
12307007801,2,1.0
12307007808,0,0.0
12307007828,1,1.0
12307007843,2,0.0
12307007850,0,1.0
12307007860,1,0.0
12307007866,0,1.0
12308007911,0,0.0
12308007920,0,0.0
12308007927,1,0.0
12308007940,0,0.0
12308007941,0,0.0
12308007942,0,0.0
12308007964,0,0.0
12308008045,0,0.0
12308008100,0,0.0
12308008104,0,0.0
12308008108,0,0.0
12308008189,1,0.0
12308008287,0,0.0
12308008288,0,0.0
12308008290,0,0.0
12308008297,0,0.0
12308008298,0,0.0
12308008319,0,0.0
12308008372,0,0.0
12308008387,0,0.0
12308008399,0,0.0
12308008414,0,0.0
12308008420,0,0.0
12308008502,0,0.0
12308008515,0,0.0
12308008522,1,0.0
12308008540,0,0.0
12308008551,0,0.0
12308008569,1,0.0
12308008585,0,0.0
12308008587,0,0.0
12308008627,0,0.0
12308008636,5,0.0
12308008637,0,0.0
12308008660,0,0.0
12308008669,0,0.0
12308008699,0,0.0
12308008765,0,0.0
22210000946,195,0.0
22211002054,69,0.0
22302001245,0,6.0
22303003290,6,0.0
22304005144,0,0.0
22306006352,0,0.0
22306006422,1,0.0
72301000021,0,0.0
72301000287,8,0.0
72301001000,51,0.0
72305005755,0,0.0
72305005820,80,0.0
72306006354,25,0.0
112303003045,0,0.0
112303003046,0,0.0
112303003047,0,0.0
112303003048,0,0.0
112303003049,0,0.0
112304004617,8,0.0
112304004655,6,0.0
112304004895,0,0.0
112304004896,1,0.0
112304004898,1,0.0
162308007953,0,0.0
162308008195,4,0.0
162308008314,0,0.0
162308008362,3,0.0
162308008689,0,0.0
162308008745,0,0.0
162308008762,0,0.0
